POPULATION,PLOT #,TREE TAG,SPECIES,INDIVIDUAL,T-0 (2010-10-16),T-1 (2010-11-20),T-2 (2010-12-11),T-3 (2011-01-22),T-4 (2011-02-18),T-5 (2011-03-05),T-6 (2011-04-16),T-7 (2011-05-07),T-8 (2011-06-01),T-9 (2011-07-31),T-10 (2011-08-25),T-11 (2011-09-17),T-12 (2011-10-15),T-13 (2011-11-17),T-14 (2011-12-10),T-15 (2012-01-18),T-16 (2012-02-18),T-17 (2012-03-18),T-18 (2012-04-15),T-19 (2012-05-15),T-20 (2012-06-15),T-21 (2012-07-15),T-22 (2012-08-25),T-23 (2012-09-15),T-24 (2012-10-15)
1,1,1,Lepanthes caritensis,11,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult
1,1,1,Lepanthes caritensis,12,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
1,1,1,Lepanthes caritensis,13,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
1,1,1,Lepanthes caritensis,14,Seedling,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
1,1,1,Lepanthes caritensis,15,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
1,1,1,Lepanthes caritensis,16,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead
1,1,1,Lepanthes caritensis,17,Seedling,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
1,1,1,Lepanthes caritensis,18,Adult,Adult,Adult,Adult,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Adult,Reproductive,Reproductive,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult
1,1,1,Lepanthes caritensis,19,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult
1,1,1,Lepanthes caritensis,20,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
1,1,1,Lepanthes caritensis,21,Adult,Adult,Adult,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult
1,1,1,Lepanthes caritensis,22,Adult,Adult,Adult,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Reproductive,Adult,Adult,Reproductive,Reproductive,Adult,Adult,Adult,Reproductive,Adult,Adult,Adult,Adult
1,1,1,Lepanthes caritensis,23,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
1,1,1,Lepanthes caritensis,24,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
1,1,1,Lepanthes caritensis,25,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Reproductive,Reproductive,Reproductive,Reproductive,Adult
1,1,1,Lepanthes caritensis,26,Adult,Adult,Adult,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Reproductive,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult
1,1,1,Lepanthes caritensis,27,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Reproductive,Adult,Reproductive
1,1,1,Lepanthes caritensis,28,Reproductive,Reproductive,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult
1,1,1,Lepanthes caritensis,29,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Reproductive,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult
1,1,1,Lepanthes caritensis,30,Seedling,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
1,1,1,Lepanthes caritensis,31,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
1,1,1,Lepanthes caritensis,32,Seedling,Seedling,Seedling,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
1,1,1,Lepanthes caritensis,33,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Reproductive,Adult,Adult,Reproductive,Reproductive,Adult,Adult,Adult,Reproductive,Adult,Adult,Adult,Adult
1,1,1,Lepanthes caritensis,34,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Reproductive,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Adult,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Reproductive,Adult
1,1,1,Lepanthes caritensis,35,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Reproductive,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Reproductive,Dead,Dead,Dead,Dead,Dead,Dead,Dead
1,1,1,Lepanthes caritensis,36,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling
1,1,1,Lepanthes caritensis,37,Juvenile,Reproductive,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Reproductive,Reproductive,Adult,Adult
1,1,1,Lepanthes caritensis,38,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
1,1,1,Lepanthes caritensis,39,Reproductive,Reproductive,Reproductive,Reproductive,Adult,Adult,Reproductive,Adult,Adult,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Adult,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult
1,1,1,Lepanthes caritensis,40,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Reproductive,Adult,Adult,Reproductive,Adult,Adult,Adult,Adult
1,1,1,Lepanthes caritensis,41,0,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
1,1,1,Lepanthes caritensis,42,0,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
1,1,1,Lepanthes caritensis,43,0,0,0,0,0,Seedling,Juvenile,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Adult
1,1,1,Lepanthes caritensis,44,0,0,0,0,0,0,0,0,0,0,0,0,0,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling
1,1,1,Lepanthes caritensis,45,0,0,0,0,0,0,0,0,0,0,0,0,0,Seedling,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
1,1,1,Lepanthes caritensis,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seedling,Seedling,Seedling,Seedling,Juvenile,Juvenile,Juvenile
1,1,1,Lepanthes caritensis,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seedling,Seedling,Seedling,Seedling,Juvenile,Juvenile,Juvenile
1,1,1,Lepanthes caritensis,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seedling,Seedling,Dead,Dead,Dead,Dead,Dead
1,1,1,Lepanthes caritensis,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seedling,Seedling,Seedling,Seedling,Seedling
1,1,1,Lepanthes caritensis,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seedling,Dead,Dead,Dead,Dead
1,1,1,Lepanthes caritensis,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seedling,Seedling,Seedling,Seedling,Seedling
1,1,1,Lepanthes caritensis,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seedling,Seedling,Dead,Dead,Dead
1,1,1,Lepanthes caritensis,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seedling,Seedling,Seedling,Seedling,Seedling
1,1,1,Lepanthes caritensis,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seedling,Seedling,Seedling,Seedling,Seedling
1,1,1,Lepanthes caritensis,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seedling,Seedling,Seedling,Seedling,Seedling
1,1,1,Lepanthes caritensis,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seedling,Seedling,Seedling,Seedling,Seedling
1,1,1,Lepanthes caritensis,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seedling,Seedling,Seedling,Seedling,Seedling
1,1,1,Lepanthes caritensis,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seedling,Seedling,Seedling,Seedling,Seedling
1,1,1,Lepanthes caritensis,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seedling,Seedling,Seedling,Seedling,Seedling
1,1,1,Lepanthes caritensis,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seedling,Seedling,Seedling,Seedling,Seedling
1,1,1,Lepanthes caritensis,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seedling,Seedling,Seedling,Seedling
1,1,1,Lepanthes caritensis,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seedling
2,2,101,Lepanthes caritensis,101,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,102,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
2,2,101,Lepanthes caritensis,103,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
2,2,101,Lepanthes caritensis,104,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
2,2,101,Lepanthes caritensis,105,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
2,2,101,Lepanthes caritensis,106,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
2,2,101,Lepanthes caritensis,107,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,108,Seedling,Seedling,Seedling,Seedling,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,109,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,110,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead
2,2,101,Lepanthes caritensis,111,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,112,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,113,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,114,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,115,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,116,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling
2,2,101,Lepanthes caritensis,117,Seedling,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
2,2,101,Lepanthes caritensis,118,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,119,Seedling,Seedling,Seedling,Seedling,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,120,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,121,Seedling,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,122,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,123,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
2,2,101,Lepanthes caritensis,124,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Reproductive,Adult,Adult,Adult,Adult,Adult,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult
2,2,101,Lepanthes caritensis,125,Adult,Adult,Adult,Reproductive,Adult,Reproductive,Adult,Adult,Adult,Reproductive,Reproductive,Adult,Reproductive,Reproductive,Reproductive,Adult,Adult,Adult,Reproductive,Reproductive,Adult,Reproductive,Reproductive,Adult,Adult
2,2,101,Lepanthes caritensis,126,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
2,2,101,Lepanthes caritensis,127,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Reproductive,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Adult
2,2,101,Lepanthes caritensis,128,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Reproductive,Adult,Reproductive,Reproductive,Adult,Adult,Adult,Adult,Adult
2,2,101,Lepanthes caritensis,129,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
2,2,101,Lepanthes caritensis,130,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,131,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,132,Seedling,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile
2,2,101,Lepanthes caritensis,133,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Juvenile,Juvenile,Juvenile,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,134,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling
2,2,101,Lepanthes caritensis,135,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dead
2,2,101,Lepanthes caritensis,136,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling
2,2,101,Lepanthes caritensis,137,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Juvenile,Juvenile,Juvenile,Juvenile
